"""Problem"",""Severity"",""File"",""Line"",""Column"",""Rule"",""Description"",""URL"",""Category"",""Engine"""
"""30"",""3"",""C:\New folder\vfpageprojectnew\pdfvfpageorg\force-app\main\default\classes\ManageListController.cls"",""31"",""52"",""ApexCRUDViolation"",""Validate CRUD permission before SOQL/DML operation or enforce user mode"",""https://pmd.github.io/pmd-6.55.0/pmd_rules_apex_security.html#apexcrudviolation"",""Security"",""pmd"""
"""31"",""3"",""C:\New folder\vfpageprojectnew\pdfvfpageorg\force-app\main\default\classes\ManageListController.cls"",""100"",""17"",""ApexCRUDViolation"",""Validate CRUD permission before SOQL/DML operation or enforce user mode"",""https://pmd.github.io/pmd-6.55.0/pmd_rules_apex_security.html#apexcrudviolation"",""Security"",""pmd"""
"""32"",""3"",""C:\New folder\vfpageprojectnew\pdfvfpageorg\force-app\main\default\classes\ManageListController.cls"",""100"",""17"",""ApexCRUDViolation"",""Validate CRUD permission before SOQL/DML operation or enforce user mode"",""https://pmd.github.io/pmd-6.55.0/pmd_rules_apex_security.html#apexcrudviolation"",""Security"",""pmd"""
"""33"",""3"",""C:\New folder\vfpageprojectnew\pdfvfpageorg\force-app\main\default\classes\ManageListController.cls"",""104"",""17"",""ApexCRUDViolation"",""Validate CRUD permission before SOQL/DML operation or enforce user mode"",""https://pmd.github.io/pmd-6.55.0/pmd_rules_apex_security.html#apexcrudviolation"",""Security"",""pmd"""
"""34"",""3"",""C:\New folder\vfpageprojectnew\pdfvfpageorg\force-app\main\default\classes\ManageListController.cls"",""104"",""17"",""ApexCRUDViolation"",""Validate CRUD permission before SOQL/DML operation or enforce user mode"",""https://pmd.github.io/pmd-6.55.0/pmd_rules_apex_security.html#apexcrudviolation"",""Security"",""pmd"""
"""35"",""3"",""C:\New folder\vfpageprojectnew\pdfvfpageorg\force-app\main\default\classes\ManageListController.cls"",""133"",""51"",""ApexCRUDViolation"",""Validate CRUD permission before SOQL/DML operation or enforce user mode"",""https://pmd.github.io/pmd-6.55.0/pmd_rules_apex_security.html#apexcrudviolation"",""Security"",""pmd"""
"""36"",""3"",""C:\New folder\vfpageprojectnew\pdfvfpageorg\force-app\main\default\classes\ManageListController.cls"",""169"",""47"",""ApexCRUDViolation"",""Validate CRUD permission before SOQL/DML operation or enforce user mode"",""https://pmd.github.io/pmd-6.55.0/pmd_rules_apex_security.html#apexcrudviolation"",""Security"",""pmd"""
"""37"",""3"",""C:\New folder\vfpageprojectnew\pdfvfpageorg\force-app\main\default\classes\ManageListController.cls"",""189"",""47"",""ApexCRUDViolation"",""Validate CRUD permission before SOQL/DML operation or enforce user mode"",""https://pmd.github.io/pmd-6.55.0/pmd_rules_apex_security.html#apexcrudviolation"",""Security"",""pmd"""
"""38"",""3"",""C:\New folder\vfpageprojectnew\pdfvfpageorg\force-app\main\default\classes\OppController.cls"",""1"",""14"",""ApexSharingViolations"",""Apex classes should declare a sharing model if DML or SOQL/SOSL is used"",""https://pmd.github.io/pmd-6.55.0/pmd_rules_apex_security.html#apexsharingviolations"",""Security"",""pmd"""
"""39"",""3"",""C:\New folder\vfpageprojectnew\pdfvfpageorg\force-app\main\default\classes\OppController.cls"",""24"",""17"",""ApexCRUDViolation"",""Validate CRUD permission before SOQL/DML operation or enforce user mode"",""https://pmd.github.io/pmd-6.55.0/pmd_rules_apex_security.html#apexcrudviolation"",""Security"",""pmd"""
"""40"",""3"",""C:\New folder\vfpageprojectnew\pdfvfpageorg\force-app\main\default\classes\OppController.cls"",""29"",""17"",""ApexCRUDViolation"",""Validate CRUD permission before SOQL/DML operation or enforce user mode"",""https://pmd.github.io/pmd-6.55.0/pmd_rules_apex_security.html#apexcrudviolation"",""Security"",""pmd"""
"""41"",""3"",""C:\New folder\vfpageprojectnew\pdfvfpageorg\force-app\main\default\classes\OppController.cls"",""36"",""59"",""ApexCRUDViolation"",""Validate CRUD permission before SOQL/DML operation or enforce user mode"",""https://pmd.github.io/pmd-6.55.0/pmd_rules_apex_security.html#apexcrudviolation"",""Security"",""pmd"""
"""42"",""3"",""C:\New folder\vfpageprojectnew\pdfvfpageorg\force-app\main\default\classes\OppController.cls"",""81"",""36"",""ApexCRUDViolation"",""Validate CRUD permission before SOQL/DML operation or enforce user mode"",""https://pmd.github.io/pmd-6.55.0/pmd_rules_apex_security.html#apexcrudviolation"",""Security"",""pmd"""
"""43"",""3"",""C:\New folder\vfpageprojectnew\pdfvfpageorg\force-app\main\default\classes\OppController.cls"",""97"",""30"",""ApexXSSFromURLParam"",""Apex classes should escape/sanitize Strings obtained from URL parameters"",""https://pmd.github.io/pmd-6.55.0/pmd_rules_apex_security.html#apexxssfromurlparam"",""Security"",""pmd"""
"""44"",""3"",""C:\New folder\vfpageprojectnew\pdfvfpageorg\force-app\main\default\classes\OppController.cls"",""98"",""67"",""ApexSOQLInjection"",""Avoid untrusted/unescaped variables in DML query"",""https://pmd.github.io/pmd-6.55.0/pmd_rules_apex_security.html#apexsoqlinjection"",""Security"",""pmd"""
"""45"",""3"",""C:\New folder\vfpageprojectnew\pdfvfpageorg\force-app\main\default\classes\OppController.cls"",""140"",""17"",""ApexCRUDViolation"",""Validate CRUD permission before SOQL/DML operation or enforce user mode"",""https://pmd.github.io/pmd-6.55.0/pmd_rules_apex_security.html#apexcrudviolation"",""Security"",""pmd"""
"""46"",""3"",""C:\New folder\vfpageprojectnew\pdfvfpageorg\force-app\main\default\classes\OppController.cls"",""140"",""17"",""ApexCRUDViolation"",""Validate CRUD permission before SOQL/DML operation or enforce user mode"",""https://pmd.github.io/pmd-6.55.0/pmd_rules_apex_security.html#apexcrudviolation"",""Security"",""pmd"""
"""47"",""3"",""C:\New folder\vfpageprojectnew\pdfvfpageorg\force-app\main\default\classes\OppController.cls"",""169"",""51"",""ApexCRUDViolation"",""Validate CRUD permission before SOQL/DML operation or enforce user mode"",""https://pmd.github.io/pmd-6.55.0/pmd_rules_apex_security.html#apexcrudviolation"",""Security"",""pmd"""
"""48"",""3"",""C:\New folder\vfpageprojectnew\pdfvfpageorg\force-app\main\default\classes\PriceList_reportController.cls"",""1"",""14"",""ApexSharingViolations"",""Apex classes should declare a sharing model if DML or SOQL/SOSL is used"",""https://pmd.github.io/pmd-6.55.0/pmd_rules_apex_security.html#apexsharingviolations"",""Security"",""pmd"""
"""49"",""3"",""C:\New folder\vfpageprojectnew\pdfvfpageorg\force-app\main\default\classes\PriceList_reportController.cls"",""6"",""16"",""ApexCRUDViolation"",""Validate CRUD permission before SOQL/DML operation or enforce user mode"",""https://pmd.github.io/pmd-6.55.0/pmd_rules_apex_security.html#apexcrudviolation"",""Security"",""pmd"""
"""50"",""3"",""C:\New folder\vfpageprojectnew\pdfvfpageorg\force-app\main\default\classes\PriceList_reportController.cls"",""12"",""38"",""ApexCRUDViolation"",""Validate CRUD permission before SOQL/DML operation or enforce user mode"",""https://pmd.github.io/pmd-6.55.0/pmd_rules_apex_security.html#apexcrudviolation"",""Security"",""pmd"""
"""51"",""3"",""C:\New folder\vfpageprojectnew\pdfvfpageorg\force-app\main\default\classes\PriceList_reportController.cls"",""131"",""50"",""ApexSOQLInjection"",""Avoid untrusted/unescaped variables in DML query"",""https://pmd.github.io/pmd-6.55.0/pmd_rules_apex_security.html#apexsoqlinjection"",""Security"",""pmd"""
"""52"",""3"",""C:\New folder\vfpageprojectnew\pdfvfpageorg\force-app\main\default\classes\PriceList_reportController.cls"",""133"",""55"",""ApexCRUDViolation"",""Validate CRUD permission before SOQL/DML operation or enforce user mode"",""https://pmd.github.io/pmd-6.55.0/pmd_rules_apex_security.html#apexcrudviolation"",""Security"",""pmd"""
"""53"",""3"",""C:\New folder\vfpageprojectnew\pdfvfpageorg\force-app\main\default\classes\PriceList_reportController.cls"",""137"",""70"",""ApexSOQLInjection"",""Avoid untrusted/unescaped variables in DML query"",""https://pmd.github.io/pmd-6.55.0/pmd_rules_apex_security.html#apexsoqlinjection"",""Security"",""pmd"""
"""54"",""3"",""C:\New folder\vfpageprojectnew\pdfvfpageorg\force-app\main\default\classes\SampleReqPDF.cls"",""1"",""14"",""ApexSharingViolations"",""Apex classes should declare a sharing model if DML or SOQL/SOSL is used"",""https://pmd.github.io/pmd-6.55.0/pmd_rules_apex_security.html#apexsharingviolations"",""Security"",""pmd"""
"""55"",""3"",""C:\New folder\vfpageprojectnew\pdfvfpageorg\force-app\main\default\classes\SampleReqPDF.cls"",""14"",""52"",""ApexCRUDViolation"",""Validate CRUD permission before SOQL/DML operation or enforce user mode"",""https://pmd.github.io/pmd-6.55.0/pmd_rules_apex_security.html#apexcrudviolation"",""Security"",""pmd"""
"""56"",""3"",""C:\New folder\vfpageprojectnew\pdfvfpageorg\force-app\main\default\classes\SampleReqPDF.cls"",""47"",""37"",""ApexCRUDViolation"",""Validate CRUD permission before SOQL/DML operation or enforce user mode"",""https://pmd.github.io/pmd-6.55.0/pmd_rules_apex_security.html#apexcrudviolation"",""Security"",""pmd"""
"""57"",""3"",""C:\New folder\vfpageprojectnew\pdfvfpageorg\force-app\main\default\classes\SampleRequestCloneExt.cls"",""1"",""14"",""ApexSharingViolations"",""Apex classes should declare a sharing model if DML or SOQL/SOSL is used"",""https://pmd.github.io/pmd-6.55.0/pmd_rules_apex_security.html#apexsharingviolations"",""Security"",""pmd"""
"""58"",""3"",""C:\New folder\vfpageprojectnew\pdfvfpageorg\force-app\main\default\classes\SampleRequestCloneExt.cls"",""8"",""26"",""ApexCSRF"",""Avoid making DML operations in Apex class constructor or initializers"",""https://pmd.github.io/pmd-6.55.0/pmd_rules_apex_errorprone.html#apexcsrf"",""Error Prone"",""pmd"""
"""59"",""3"",""C:\New folder\vfpageprojectnew\pdfvfpageorg\force-app\main\default\classes\SampleRequestCloneExt.cls"",""30"",""66"",""ApexSOQLInjection"",""Avoid untrusted/unescaped variables in DML query"",""https://pmd.github.io/pmd-6.55.0/pmd_rules_apex_security.html#apexsoqlinjection"",""Security"",""pmd"""
"""60"",""3"",""C:\New folder\vfpageprojectnew\pdfvfpageorg\force-app\main\default\classes\SampleRequestCloneExt.cls"",""32"",""17"",""ApexCRUDViolation"",""Validate CRUD permission before SOQL/DML operation or enforce user mode"",""https://pmd.github.io/pmd-6.55.0/pmd_rules_apex_security.html#apexcrudviolation"",""Security"",""pmd"""
"""61"",""3"",""C:\New folder\vfpageprojectnew\pdfvfpageorg\force-app\main\default\classes\SampleRequestCloneExt.cls"",""38"",""17"",""ApexCRUDViolation"",""Validate CRUD permission before SOQL/DML operation or enforce user mode"",""https://pmd.github.io/pmd-6.55.0/pmd_rules_apex_security.html#apexcrudviolation"",""Security"",""pmd"""
"""62"",""3"",""C:\New folder\vfpageprojectnew\pdfvfpageorg\force-app\main\default\classes\SendGeneratePDFMail.cls"",""1"",""14"",""ApexSharingViolations"",""Apex classes should declare a sharing model if DML or SOQL/SOSL is used"",""https://pmd.github.io/pmd-6.55.0/pmd_rules_apex_security.html#apexsharingviolations"",""Security"",""pmd"""
"""63"",""3"",""C:\New folder\vfpageprojectnew\pdfvfpageorg\force-app\main\default\classes\SendGeneratePDFMail.cls"",""4"",""32"",""ApexCRUDViolation"",""Validate CRUD permission before SOQL/DML operation or enforce user mode"",""https://pmd.github.io/pmd-6.55.0/pmd_rules_apex_security.html#apexcrudviolation"",""Security"",""pmd"""
"""64"",""3"",""C:\New folder\vfpageprojectnew\pdfvfpageorg\force-app\main\default\classes\SendGeneratePDFMail.cls"",""5"",""25"",""ApexCRUDViolation"",""Validate CRUD permission before SOQL/DML operation or enforce user mode"",""https://pmd.github.io/pmd-6.55.0/pmd_rules_apex_security.html#apexcrudviolation"",""Security"",""pmd"""
"""65"",""3"",""C:\New folder\vfpageprojectnew\pdfvfpageorg\force-app\main\default\classes\SendGeneratePDFMail.cls"",""27"",""32"",""ApexCRUDViolation"",""Validate CRUD permission before SOQL/DML operation or enforce user mode"",""https://pmd.github.io/pmd-6.55.0/pmd_rules_apex_security.html#apexcrudviolation"",""Security"",""pmd"""
"""66"",""3"",""C:\New folder\vfpageprojectnew\pdfvfpageorg\force-app\main\default\classes\SendGeneratePDFMail.cls"",""28"",""25"",""ApexCRUDViolation"",""Validate CRUD permission before SOQL/DML operation or enforce user mode"",""https://pmd.github.io/pmd-6.55.0/pmd_rules_apex_security.html#apexcrudviolation"",""Security"",""pmd"""
"""67"",""3"",""C:\New folder\vfpageprojectnew\pdfvfpageorg\force-app\main\default\classes\Top10CustController.cls"",""1"",""14"",""ApexSharingViolations"",""Apex classes should declare a sharing model if DML or SOQL/SOSL is used"",""https://pmd.github.io/pmd-6.55.0/pmd_rules_apex_security.html#apexsharingviolations"",""Security"",""pmd"""
"""68"",""3"",""C:\New folder\vfpageprojectnew\pdfvfpageorg\force-app\main\default\classes\Top10CustController.cls"",""3"",""44"",""ApexCRUDViolation"",""Validate CRUD permission before SOQL/DML operation or enforce user mode"",""https://pmd.github.io/pmd-6.55.0/pmd_rules_apex_security.html#apexcrudviolation"",""Security"",""pmd"""
"""69"",""3"",""C:\New folder\vfpageprojectnew\pdfvfpageorg\force-app\main\default\classes\oppItemController.cls"",""1"",""14"",""ApexSharingViolations"",""Apex classes should declare a sharing model if DML or SOQL/SOSL is used"",""https://pmd.github.io/pmd-6.55.0/pmd_rules_apex_security.html#apexsharingviolations"",""Security"",""pmd"""
"""70"",""3"",""C:\New folder\vfpageprojectnew\pdfvfpageorg\force-app\main\default\classes\oppItemController.cls"",""13"",""66"",""ApexCRUDViolation"",""Validate CRUD permission before SOQL/DML operation or enforce user mode"",""https://pmd.github.io/pmd-6.55.0/pmd_rules_apex_security.html#apexcrudviolation"",""Security"",""pmd"""
"""71"",""3"",""C:\New folder\vfpageprojectnew\pdfvfpageorg\force-app\main\default\classes\oppItemController.cls"",""70"",""17"",""ApexCRUDViolation"",""Validate CRUD permission before SOQL/DML operation or enforce user mode"",""https://pmd.github.io/pmd-6.55.0/pmd_rules_apex_security.html#apexcrudviolation"",""Security"",""pmd"""
"""72"",""3"",""C:\New folder\vfpageprojectnew\pdfvfpageorg\force-app\main\default\classes\oppItemController.cls"",""70"",""17"",""ApexCRUDViolation"",""Validate CRUD permission before SOQL/DML operation or enforce user mode"",""https://pmd.github.io/pmd-6.55.0/pmd_rules_apex_security.html#apexcrudviolation"",""Security"",""pmd"""
"""73"",""3"",""C:\New folder\vfpageprojectnew\pdfvfpageorg\force-app\main\default\classes\oppItemController.cls"",""76"",""17"",""ApexCRUDViolation"",""Validate CRUD permission before SOQL/DML operation or enforce user mode"",""https://pmd.github.io/pmd-6.55.0/pmd_rules_apex_security.html#apexcrudviolation"",""Security"",""pmd"""
"""74"",""3"",""C:\New folder\vfpageprojectnew\pdfvfpageorg\force-app\main\default\classes\oppItemController.cls"",""76"",""17"",""ApexCRUDViolation"",""Validate CRUD permission before SOQL/DML operation or enforce user mode"",""https://pmd.github.io/pmd-6.55.0/pmd_rules_apex_security.html#apexcrudviolation"",""Security"",""pmd"""
"""75"",""3"",""C:\New folder\vfpageprojectnew\pdfvfpageorg\force-app\main\default\pages\NewOpportunity.page"",""153"",""98"",""VfUnescapeEl"",""Avoid unescaped user controlled content in EL"",""https://pmd.github.io/pmd-6.55.0/pmd_rules_vf_security.html#vfunescapeel"",""Security"",""pmd"""
"""76"",""3"",""C:\New folder\vfpageprojectnew\pdfvfpageorg\force-app\main\default\pages\NewOpportunity_Customer.page"",""137"",""94"",""VfUnescapeEl"",""Avoid unescaped user controlled content in EL"",""https://pmd.github.io/pmd-6.55.0/pmd_rules_vf_security.html#vfunescapeel"",""Security"",""pmd"""
"""77"",""3"",""C:\New folder\vfpageprojectnew\pdfvfpageorg\force-app\main\default\pages\NewOpportunity_Prospect.page"",""133"",""94"",""VfUnescapeEl"",""Avoid unescaped user controlled content in EL"",""https://pmd.github.io/pmd-6.55.0/pmd_rules_vf_security.html#vfunescapeel"",""Security"",""pmd"""
"""78"",""3"",""C:\New folder\vfpageprojectnew\pdfvfpageorg\force-app\main\default\pages\OpportunityItem.page"",""76"",""98"",""VfUnescapeEl"",""Avoid unescaped user controlled content in EL"",""https://pmd.github.io/pmd-6.55.0/pmd_rules_vf_security.html#vfunescapeel"",""Security"",""pmd"""
"""79"",""3"",""C:\New folder\vfpageprojectnew\pdfvfpageorg\force-app\main\default\pages\SampleRequestForm_Backup.page"",""285"",""94"",""VfUnescapeEl"",""Avoid unescaped user controlled content in EL"",""https://pmd.github.io/pmd-6.55.0/pmd_rules_vf_security.html#vfunescapeel"",""Security"",""pmd"""
"""80"",""3"",""C:\New folder\vfpageprojectnew\pdfvfpageorg\force-app\main\default\pages\SampleRequestForm_Customer.page"",""262"",""90"",""VfUnescapeEl"",""Avoid unescaped user controlled content in EL"",""https://pmd.github.io/pmd-6.55.0/pmd_rules_vf_security.html#vfunescapeel"",""Security"",""pmd"""
"""81"",""3"",""C:\New folder\vfpageprojectnew\pdfvfpageorg\force-app\main\default\pages\SampleRequestForm_Prospect.page"",""254"",""90"",""VfUnescapeEl"",""Avoid unescaped user controlled content in EL"",""https://pmd.github.io/pmd-6.55.0/pmd_rules_vf_security.html#vfunescapeel"",""Security"",""pmd"""
"""82"",""3"",""C:\New folder\vfpageprojectnew\pdfvfpageorg\force-app\main\default\pages\Sample_Req_PDF.page"",""226"",""55"",""VfUnescapeEl"",""Avoid unescaped user controlled content in EL"",""https://pmd.github.io/pmd-6.55.0/pmd_rules_vf_security.html#vfunescapeel"",""Security"",""pmd"""
